defined	arg	defined arg
_Scanf_s_format_string_params_	x	
_In_range_	l,h	
_Out_range_	l,h	
_Ret_range_	l,h	
_Deref_in_range_	l,h	
_Deref_out_range_	l,h	
_Deref_ret_range_	lb,ub	_SAL2_Source_(_Deref_ret_range_, (lb,ub), _Deref_ret_range_impl_(lb,ub))
_Pre_equal_to_	e	
_Post_equal_to_	e	
_Unchanged_	e	_SAL2_Source_(_Unchanged_, (e), _At_(e, _Post_equal_to_(_Old_(e)) _Const_))
_Pre_satisfies_	e	
_Post_satisfies_	e	
_Struct_size_bytes_	s	
_Field_size_	s	
_Field_size_opt_	s	
_Field_size_part_	s,c	
_Field_size_part_opt_	s,c	
_Field_size_full_	s	
_Field_size_full_opt_	s	
_Field_size_bytes_	s	
_Field_size_bytes_opt_	s	
_Field_size_bytes_part_	s,c	
_Field_size_bytes_part_opt_	s,c	
_Field_size_bytes_full_	s	
_Field_size_bytes_full_opt_	s	
_Field_z_		_SAL2_Source_(_Field_z_, (), _Null_terminated_)
_Field_range_	l,h	
_Pre_		
_Post_		
_Valid_		
_Notvalid_		
_Maybevalid_		_Maybevalid_impl_
_Readable_bytes_	s	
_Readable_elements_	s	
_Writable_bytes_	s	
_Writable_elements_	s	
_Null_terminated_		
_NullNull_terminated_		
_Pre_readable_size_	s	_Pre_ _Readable_elements_(s) _Pre_ _Valid_
_Pre_writable_size_	s	_Pre_ _Writable_elements_(s)
_Pre_readable_byte_size_	s	_Pre_ _Readable_bytes_(s) _Pre_ _Valid_
_Pre_writable_byte_size_	s	_Pre_ _Writable_bytes_(s)
_Post_readable_size_	s	_Post_ _Readable_elements_(s) _Post_ _Valid_
_Post_writable_size_	s	_Post_ _Writable_elements_(s)
_Post_readable_byte_size_	s	_Post_ _Readable_bytes_(s) _Post_ _Valid_
_Post_writable_byte_size_	s	_Post_ _Writable_bytes_(s)
_Null_		
_Notnull_		
_Maybenull_		
_Pre_z_		_Pre_ _Null_terminated_
_Pre_valid_		_Pre_notnull_ _Pre_ _Valid_
_Pre_opt_valid_		_Pre_maybenull_ _Pre_ _Valid_
_Pre_invalid_		_SAL2_Source_(_Pre_invalid_, (), _Deref_pre1_impl_(__notvalid_impl))
_Pre_unknown_		
_Pre_notnull_		_Pre_ _Notnull_
_Pre_maybenull_		_Pre_ _Maybenull_
_Pre_null_		_Pre_ _Null_
_Post_z_		_Post_ _Null_terminated_
_Post_valid_		_Post_ _Valid_
_Post_invalid_		_Post_ _Deref_ _Notvalid_
_Post_ptr_invalid_		_Post_ _Notvalid_
_Post_notnull_		_SAL2_Source_(_Post_notnull_, (), _Post1_impl_(__notnull_impl))
_Post_null_		_SAL2_Source_(_Post_null_, (), _Post1_impl_(__null_impl))
_Post_maybenull_		_SAL2_Source_(_Post_maybenull_, (), _Post1_impl_(__maybenull_impl))
_Prepost_z_		_Pre_z_ _Post_z_
_In_count_	size	_SAL1_1_Source_(_In_count_, (size), _Pre_count_(size) _Deref_pre_readonly_)
_In_opt_count_	size	_SAL1_1_Source_(_In_opt_count_, (size), _Pre_opt_count_(size) _Deref_pre_readonly_)
_In_bytecount_	size	_SAL1_1_Source_(_In_bytecount_, (size), _Pre_bytecount_(size) _Deref_pre_readonly_)
_In_opt_bytecount_	size	_SAL1_1_Source_(_In_opt_bytecount_, (size), _Pre_opt_bytecount_(size) _Deref_pre_readonly_)
_In_count_c_	size	_SAL1_1_Source_(_In_count_c_, (size), _Pre_count_c_(size) _Deref_pre_readonly_)
_In_opt_count_c_	size	_SAL1_1_Source_(_In_opt_count_c_, (size), _Pre_opt_count_c_(size) _Deref_pre_readonly_)
_In_bytecount_c_	size	_SAL1_1_Source_(_In_bytecount_c_, (size), _Pre_bytecount_c_(size) _Deref_pre_readonly_)
_In_opt_bytecount_c_	size	_SAL1_1_Source_(_In_opt_bytecount_c_, (size), _Pre_opt_bytecount_c_(size) _Deref_pre_readonly_)
_In_z_count_	size	_SAL1_1_Source_(_In_z_count_, (size), _Pre_z_ _Pre_count_(size) _Deref_pre_readonly_)
_In_opt_z_count_	size	_SAL1_1_Source_(_In_opt_z_count_, (size), _Pre_opt_z_ _Pre_opt_count_(size) _Deref_pre_readonly_)
_In_z_bytecount_	size	_SAL1_1_Source_(_In_z_bytecount_, (size), _Pre_z_ _Pre_bytecount_(size) _Deref_pre_readonly_)
_In_opt_z_bytecount_	size	_SAL1_1_Source_(_In_opt_z_bytecount_, (size), _Pre_opt_z_ _Pre_opt_bytecount_(size) _Deref_pre_readonly_)
_In_z_count_c_	size	_SAL1_1_Source_(_In_z_count_c_, (size), _Pre_z_ _Pre_count_c_(size) _Deref_pre_readonly_)
_In_opt_z_count_c_	size	_SAL1_1_Source_(_In_opt_z_count_c_, (size), _Pre_opt_z_ _Pre_opt_count_c_(size) _Deref_pre_readonly_)
_In_z_bytecount_c_	size	_SAL1_1_Source_(_In_z_bytecount_c_, (size), _Pre_z_ _Pre_bytecount_c_(size) _Deref_pre_readonly_)
_In_opt_z_bytecount_c_	size	_SAL1_1_Source_(_In_opt_z_bytecount_c_, (size), _Pre_opt_z_ _Pre_opt_bytecount_c_(size) _Deref_pre_readonly_)
_In_ptrdiff_count_	size	_SAL1_1_Source_(_In_ptrdiff_count_, (size), _Pre_ptrdiff_count_(size) _Deref_pre_readonly_)
_In_opt_ptrdiff_count_	size	_SAL1_1_Source_(_In_opt_ptrdiff_count_, (size), _Pre_opt_ptrdiff_count_(size) _Deref_pre_readonly_)
